Grupo Vehiculo;Placa;digito;Codigo SII;Año Vehículo;Tasacion;Tipo de Pago;Valor_Neto;Valor_IPC;Valor_Multa;Valor Pagado;Forma Pago;Fecha_Pago;Año Permiso;Tipo Vehiculo;Marca;Modelo;Color;Transmisión;Tipo Combustible;Cilindrada;Equipamiento;Numero Puertas
Vehiculo Liviano;JJFY-93;0;SD111030217;2017;8970560;Internet;76359;0;0;76359;1ra. Cuota;22-06-2024;2024;AUTOMOVIL;HYUNDAI;ELANTRA;PLATEADO;Mec;Benc;1600;Full;4
Vehiculo Liviano;LJVY-46;1;CT166006419;2019;13301651;Internet;141326;0;0;141326;1ra. Cuota;22-06-2024;2024;CAMIONETA;MITSUBISHI;L200;ROJO;Mec;Dies;2400;Full;4
Vehiculo Liviano;PW-6102;5;CT176014907;2007;2129410;Internet;32333;0;0;32333;Total;22-06-2024;2024;CAMIONETA;NISSAN;D21;VERDE OBSCURO METALI;Mec;Benc;2400;Norm;2
Vehiculo Liviano;JLSJ-46;6;SU117002417;2017;4459486;Internet;50390;0;0;50390;Total;22-06-2024;2024;STATION WAGON;JAC;S2;PLATEADO PLATA;Mec;Benc;1500;Full;4
Vehiculo Liviano;HGST-14;7;SD050022615;2015;4098830;Internet;21589;0;0;21589;1ra. Cuota;22-06-2024;2024;AUTOMOVIL;CHEVROLET;AVEO SEDAN LT NB 1.4 MT AC ABS;BLANCO;Mec;Benc;1400;Full;4
Vehiculo Liviano;PJGV-22;2;SD176033221;2021;9511893;Internet;84479;0;0;84479;1ra. Cuota;22-06-2024;2024;AUTOMOVIL;NISSAN;VERSA;GRIS METALICO;Mec;Benc;1600;Full;4
Vehiculo Liviano;HYRR-25;8;CT079017316;2016;11589393;Internet;115642;0;0;115642;1ra. Cuota;22-06-2024;2024;CAMIONETA;FORD;RANGER;PLATEADO;Mec;Dies;3200;Full;4
Vehiculo Liviano;XV-4117;0;CT111001504;2004;2114108;Internet;16167;0;0;16167;1ra. Cuota;22-06-2024;2024;CAMIONETA;HYUNDAI;PORTER;BLANCO;Mec;Dies;2600;Norm;2
Vehiculo Liviano;KKHT-26;8;CT132006018;2018;10185393;Internet;189163;0;0;189163;Total;22-06-2024;2024;CAMIONETA;KIA MOTORS;FRONTIER P/UP 2.5 6MT SR;BLANCO INVIERNO;Mec;Dies;2500;Equi;2
Vehiculo Liviano;GCLD-83;9;CT176027513;2013;5835880;Internet;77918;0;0;77918;Total;22-06-2024;2024;CAMIONETA;NISSAN;TERRANO AXS TURBO DSL 4X2;ROJO;Mec;Dies;2500;Full;4
